STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,480253,1,1,0,0,0,2,2,141,2190,23,1,2014,5,16,24,0,16,5,RESLER DR,,0,31.87438889,-106.5597806,0,30,0,0,1,1,0,4,1,1,0,1,0,0000000,16,25,16,31,17,2,0,0,0,1,0
48,480254,1,1,0,0,0,1,1,201,0,23,1,2014,5,1,19,0,6,4,CR-CYPRESS ROSEHILL RD,,0,29.99700556,-95.69844167,0,1,0,0,1,1,0,4,2,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480255,1,1,0,0,0,1,1,201,0,24,1,2014,6,13,50,0,6,4,CR-GLEN CHASE DR,,0,29.88214722,-95.64525556,0,42,0,0,8,1,0,3,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
48,480256,1,1,0,0,0,1,1,5,0,1,2,2014,7,17,54,1,2,2,US-59,,17,31.43248889,-94.72653056,0,31,0,0,1,1,0,4,1,10,0,10,0,0000000,17,51,17,58,18,36,0,0,0,1,1
48,480257,1,1,0,0,0,1,1,29,6090,1,2,2014,7,21,40,0,16,5,VINCENT ST,,0,29.32614167,-98.5556,0,1,0,0,1,1,0,1,3,1,0,1,0,0000000,21,39,21,47,22,23,0,0,0,1,0
48,480258,2,2,0,1,1,3,3,29,6090,1,2,2014,7,22,32,1,11,7,US-410/LOOP 410,,251,29.51545833,-98.42169167,0,12,1,0,1,1,0,1,3,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480259,1,1,0,0,0,3,3,105,0,1,2,2014,7,4,15,1,1,1,I-10,,439,30.69506944,-101.0929306,0,52,0,1,19,1,0,3,2,1,0,1,0,0000000,4,32,4,49,6,35,0,0,0,1,0
48,480260,1,1,0,1,1,1,1,113,3880,1,2,2014,7,7,16,0,16,5,DANIELDALE,,0,32.63325833,-96.8104,0,8,0,0,1,1,0,99,6,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480261,2,2,0,0,0,2,2,135,0,1,2,2014,7,18,57,1,1,1,I-20,,213,31.74838333,-102.5664167,0,12,1,0,1,1,0,1,2,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480262,1,1,0,1,1,1,1,201,3280,1,2,2014,7,21,44,0,16,5,BURKETT ST,,0,29.7271,-95.35827222,0,8,0,0,1,1,0,1,3,2,0,2,0,0000000,21,44,21,51,22,11,0,0,0,1,0
48,480263,1,1,0,0,0,3,3,297,0,1,2,2014,7,4,45,1,1,1,I-37,,111,28.27948611,-97.95417778,0,1,0,0,1,1,0,10,2,10,0,10,0,0000000,4,43,4,52,6,43,0,0,0,1,1
48,480264,2,2,0,0,0,6,6,347,0,1,2,2014,7,11,50,1,2,2,US-259,CR-913,25,31.80833611,-94.67946944,0,12,6,0,1,1,0,1,1,10,0,10,0,0000000,11,55,12,12,12,46,0,0,0,1,0
48,480265,1,1,0,0,0,1,1,381,0,1,2,2014,7,13,5,0,4,2,US-87,,170,34.88973333,-101.9094139,0,32,0,0,1,1,0,4,1,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480266,2,2,0,0,0,6,6,423,0,1,2,2014,7,10,19,0,15,8,FM 346,,12,32.20533333,-95.32865833,0,12,2,0,1,1,0,1,1,2,0,2,0,0000000,10,21,10,29,11,4,0,0,0,1,0
